,alpha,iteration,[b_0],[b_age],[b_weight]
0,0.001,100,0.1044260824103173,-0.0004937938513524579,-0.0020220210917732103
1,0.005,100,0.41494297304105937,-0.10965640826728958,-0.11729754446939332
2,0.01,100,0.5488725563508113,-0.5003262062658866,-0.5156084786700943
3,0.05,100,0.0,0.0,0.0
4,0.1,100,0.0,0.0,0.0
5,0.5,100,0.0,0.0,0.0
6,1.0,100,0.0,0.0,0.0
7,5.0,100,0.0,0.0,0.0
8,10.0,100,0.0,0.0,0.0
9,0.0001,100,0.01091265423525589,0.000420666609088916,0.0002678438850468409
